model;method;features/C;BA;Score
svc;chi2;120;0.9596766291033807;0.9576766291033807
svc;chi2;130;0.9596766291033807;0.9566766291033807
svc;chi2;140;0.9603135717785399;0.9563135717785399
svc;chi2;100;0.9558304752572269;0.9558304752572269
svc;chi2;110;0.9551935325820676;0.9541935325820676
svc;chi2;150;0.951984321411073;0.946984321411073
svc;chi2;90;0.9442920137187654;0.9442920137187654
svc;l1;0.1;0.9410828025477707;0.9410828025477707
svc;l1;0.09;0.9404458598726115;0.9404458598726115
svc;l1;0.03;0.9397844194022538;0.9397844194022538
svc;l1;0.05;0.9397599216070553;0.9397599216070553
rf;l1;0.1;0.9365507104360608;0.9365507104360608
svc;chi2;70;0.9346643802057815;0.9346643802057815
svc;chi2;80;0.9346643802057815;0.9346643802057815
svc;boruta;;0.9378735913767762;0.9334735913767762
svc;chi2;50;0.9314551690347869;0.9314551690347869
svc;chi2;60;0.9314551690347869;0.9314551690347869
svc;l1;0.07;0.9308182263596276;0.9308182263596276
svc;l1;0.08;0.9289073983341499;0.9289073983341499
svc;l1;0.04;0.9282214600685939;0.9282214600685939
svc;l1;0.06;0.9263106320431161;0.9263106320431161
lda;l1;0.1;0.9256491915727585;0.9256491915727585
rf;l1;0.05;0.9250367466927977;0.9250367466927977
rf;l1;0.07;0.9250122488975991;0.9250122488975991
rf;l1;0.09;0.9250122488975991;0.9250122488975991
xgb;l1;0.09;0.9237383635472807;0.9237383635472807
lr;l1;0.09;0.9230769230769231;0.9230769230769231
rf;boruta;;0.926923076923077;0.922523076923077
lr;l1;0.1;0.9224399804017638;0.9224399804017638
rf;l1;0.08;0.9218030377266047;0.9218030377266047
lda;l1;0.09;0.9211660950514453;0.9211660950514453
xgb;l1;0.1;0.9198922097011268;0.9198922097011268
lda;l1;0.08;0.9192552670259677;0.9192552670259677
svc;chi2;40;0.9186428221460068;0.9186428221460068
rf;l1;0.06;0.9173444390004899;0.9173444390004899
xgb;l1;0.08;0.9166829985301324;0.9166829985301324
lda;l1;0.07;0.916046055854973;0.916046055854973
dt;l1;0.1;0.9154581087702107;0.9154581087702107
knn;l1;0.05;0.9154091131798139;0.9154091131798139
lr;l1;0.08;0.9147476727094561;0.9147476727094561
lr;chi2;150;0.9147476727094561;0.9097476727094561
lr;boruta;;0.9115384615384615;0.9071384615384616
lda;boruta;;0.9089906908378246;0.9045906908378246
xgb;chi2;70;0.9032582067613915;0.9032582067613915
svc;l1;0.02;0.9032582067613915;0.9032582067613915
lr;l1;0.07;0.9032092111709946;0.9032092111709946
xgb;boruta;;0.9070798628123469;0.9026798628123469
xgb;l1;0.06;0.9025967662910338;0.9025967662910338
lda;chi2;120;0.9045075943165115;0.9025075943165115
lda;chi2;130;0.9051445369916707;0.9021445369916707
lda;chi2;150;0.9064184223419892;0.9014184223419892
xgb;chi2;130;0.9038951494365507;0.9008951494365507
knn;l1;0.02;0.9000734933855953;0.9000734933855953
xgb;l1;0.07;0.9000244977951984;0.9000244977951984
xgb;chi2;140;0.9038951494365507;0.8998951494365507
rf;l1;0.03;0.899436550710436;0.899436550710436
xgb;chi2;110;0.9000489955903969;0.8990489955903969
lda;chi2;140;0.9025722684958354;0.8985722684958354
rf;l1;0.04;0.8981381675649192;0.8981381675649192
knn;l1;0.03;0.8981381675649192;0.8981381675649192
xgb;chi2;120;0.9000489955903969;0.8980489955903969
lr;chi2;120;0.9;0.898
lda;l1;0.06;0.8974522292993631;0.8974522292993631
lr;chi2;130;0.9;0.897
xgb;chi2;80;0.8968397844194023;0.8968397844194023
xgb;l1;0.04;0.8968397844194023;0.8968397844194023
rf;chi2;50;0.8955903968642822;0.8955903968642822
xgb;chi2;50;0.8955658990690838;0.8955658990690838
lr;chi2;110;0.8961538461538461;0.8951538461538461
xgb;l1;0.05;0.8949044585987261;0.8949044585987261
lda;chi2;100;0.8942430181283685;0.8942430181283685
rf;chi2;70;0.8930181283684469;0.8930181283684469
lda;chi2;90;0.89296913277805;0.89296913277805
xgb;chi2;60;0.8923566878980892;0.8923566878980892
xgb;chi2;100;0.8923566878980892;0.8923566878980892
lr;chi2;140;0.8961538461538461;0.8921538461538461
xgb;chi2;150;0.8968397844194023;0.8918397844194023
dt;l1;0.08;0.8911317981381676;0.8911317981381676
lda;chi2;110;0.8916952474277315;0.8906952474277315
rf;chi2;60;0.889171974522293;0.889171974522293
rf;chi2;120;0.8898089171974523;0.8878089171974523
rf;chi2;150;0.8923566878980892;0.8873566878980892
rf;l1;0.02;0.8872611464968153;0.8872611464968153
dt;l1;0.05;0.8866487016168545;0.8866487016168545
lda;chi2;60;0.8852768250857423;0.8852768250857423
dt;l1;0.09;0.8847133757961784;0.8847133757961784
xgb;chi2;90;0.8846643802057814;0.8846643802057814
rf;chi2;80;0.8846643802057814;0.8846643802057814
lda;chi2;80;0.884639882410583;0.884639882410583
knn;l1;0.07;0.884639882410583;0.884639882410583
lda;l1;0.05;0.8840029397354239;0.8840029397354239
lr;l1;0.06;0.8833414992650661;0.8833414992650661
knn;l1;0.08;0.8827290543851054;0.8827290543851054
rf;chi2;100;0.8821166095051445;0.8821166095051445
lda;chi2;50;0.8814551690347869;0.8814551690347869
dt;l1;0.07;0.8802302792748653;0.8802302792748653
knn;l1;0.04;0.8795198432141107;0.8795198432141107
lr;l1;0.05;0.8782214600685938;0.8782214600685938
knn;l1;0.06;0.8769475747182753;0.8769475747182753
xgb;l1;0.03;0.8763351298383146;0.8763351298383146
lr;chi2;100;0.8762861342479177;0.8762861342479177
lr;l1;0.03;0.8750122488975992;0.8750122488975992
dt;l1;0.04;0.8744977951984321;0.8744977951984321
rf;chi2;90;0.8744243018128368;0.8744243018128368
dt;l1;0.03;0.8738363547280745;0.8738363547280745
xgb;chi2;40;0.8737628613424792;0.8737628613424792
lda;chi2;70;0.8737383635472807;0.8737383635472807
rf;chi2;110;0.8744243018128368;0.8734243018128368
rf;chi2;130;0.8756981871631553;0.8726981871631553
dt;boruta;;0.8763841254287115;0.8719841254287115
rf;chi2;140;0.8756981871631553;0.8716981871631553
lda;l1;0.03;0.8711905928466438;0.8711905928466438
lda;l1;0.04;0.8711905928466438;0.8711905928466438
dt;l1;0.06;0.8699902008819207;0.8699902008819207
dt;l1;0.02;0.8693532582067613;0.8693532582067613
lr;l1;0.04;0.8692552670259677;0.8692552670259677
lr;chi2;90;0.8692307692307693;0.8692307692307693
xgb;l1;0.02;0.868030377266046;0.868030377266046
lr;chi2;60;0.8679568838804508;0.8679568838804508
lr;chi2;50;0.8654091131798138;0.8654091131798138
lr;chi2;80;0.8653846153846154;0.8653846153846154
knn;l1;0.09;0.8647721705046546;0.8647721705046546
lda;chi2;40;0.8635227829495346;0.8635227829495346
svc;chi2;30;0.8590151886330231;0.8590151886330231
lr;chi2;70;0.8564184223419893;0.8564184223419893
knn;l1;0.1;0.8545075943165115;0.8545075943165115
svc;gini;20;0.8539441450269476;0.8539441450269476
svc;gini;30;0.8539441450269476;0.8539441450269476
svc;gini;40;0.8539441450269476;0.8539441450269476
svc;gini;50;0.8539441450269476;0.8539441450269476
svc;gini;60;0.8539441450269476;0.8539441450269476
svc;gini;70;0.8539441450269476;0.8539441450269476
svc;gini;80;0.8539441450269476;0.8539441450269476
svc;gini;90;0.8539441450269476;0.8539441450269476
svc;gini;100;0.8539441450269476;0.8539441450269476
svc;gini;110;0.8539441450269476;0.8539441450269476
svc;gini;120;0.8539441450269476;0.8539441450269476
svc;gini;130;0.8539441450269476;0.8539441450269476
svc;gini;140;0.8539441450269476;0.8539441450269476
svc;gini;150;0.8539441450269476;0.8539441450269476
dt;chi2;140;0.8558794708476237;0.8518794708476237
dt;chi2;80;0.849436550710436;0.849436550710436
knn;chi2;50;0.8487996080352769;0.8487996080352769
dt;chi2;50;0.8468887800097991;0.8468887800097991
dt;chi2;60;0.8468887800097991;0.8468887800097991
dt;chi2;120;0.8488241058304753;0.8468241058304753
rf;chi2;40;0.8455903968642822;0.8455903968642822
dt;chi2;70;0.844953454189123;0.844953454189123
knn;chi2;60;0.8436550710436062;0.8436550710436062
dt;chi2;110;0.843704066634003;0.842704066634003
dt;chi2;150;0.8469132778049975;0.8419132778049975
dt;chi2;90;0.8417687408133268;0.8417687408133268
dt;chi2;100;0.8417687408133268;0.8417687408133268
lr;chi2;40;0.8416952474277315;0.8416952474277315
knn;chi2;40;0.8397844194022538;0.8397844194022538
knn;chi2;70;0.839171974522293;0.839171974522293
knn;chi2;90;0.8391474767270946;0.8391474767270946
dt;chi2;130;0.8385595296423323;0.8355595296423323
knn;boruta;;0.8397599216070554;0.8353599216070554
rf;chi2;30;0.8353013228809407;0.8353013228809407
knn;chi2;80;0.8346643802057815;0.8346643802057815
lda;l1;0.02;0.8327535521803038;0.8327535521803038
svc;l1;0.01;0.8327535521803038;0.8327535521803038
knn;chi2;100;0.8320921117099461;0.8320921117099461
rf;gini;110;0.8315286624203821;0.8315286624203821
rf;gini;150;0.8308917197452229;0.8308917197452229
xgb;chi2;30;0.8307937285644291;0.8307937285644291
knn;chi2;110;0.8314551690347869;0.8304551690347869
rf;gini;60;0.8289563939245468;0.8289563939245468
rf;gini;30;0.8283194512493876;0.8283194512493876
knn;chi2;120;0.8282459578637922;0.8262459578637922
xgb;gini;20;0.8257471827535522;0.8257471827535522
xgb;gini;30;0.8257471827535522;0.8257471827535522
xgb;gini;40;0.8257471827535522;0.8257471827535522
xgb;gini;50;0.8257471827535522;0.8257471827535522
xgb;gini;60;0.8257471827535522;0.8257471827535522
xgb;gini;70;0.8257471827535522;0.8257471827535522
xgb;gini;80;0.8257471827535522;0.8257471827535522
xgb;gini;90;0.8257471827535522;0.8257471827535522
xgb;gini;100;0.8257471827535522;0.8257471827535522
xgb;gini;110;0.8257471827535522;0.8257471827535522
xgb;gini;120;0.8257471827535522;0.8257471827535522
xgb;gini;130;0.8257471827535522;0.8257471827535522
xgb;gini;140;0.8257471827535522;0.8257471827535522
xgb;gini;150;0.8257471827535522;0.8257471827535522
dt;chi2;40;0.8250857422831945;0.8250857422831945
knn;chi2;140;0.8282459578637922;0.8242459578637922
rf;gini;50;0.8238363547280745;0.8238363547280745
rf;gini;70;0.8238363547280745;0.8238363547280745
rf;gini;80;0.8238363547280745;0.8238363547280745
rf;gini;120;0.8238363547280745;0.8238363547280745
rf;gini;140;0.8238363547280745;0.8238363547280745
rf;gini;20;0.8231994120529152;0.8231994120529152
rf;gini;40;0.8231994120529152;0.8231994120529152
rf;gini;90;0.8231994120529152;0.8231994120529152
dt;gini;80;0.8231994120529152;0.8231994120529152
dt;gini;150;0.8231994120529152;0.8231994120529152
svc;chi2;25;0.8231014208721215;0.8231014208721215
svc;chi2;20;0.8211660950514454;0.8211660950514454
rf;gini;100;0.8199902008819207;0.8199902008819207
rf;gini;130;0.8199902008819207;0.8199902008819207
xgb;chi2;25;0.819892209701127;0.819892209701127
dt;gini;20;0.8193532582067614;0.8193532582067614
dt;gini;40;0.8193532582067614;0.8193532582067614
dt;gini;100;0.8193532582067614;0.8193532582067614
dt;gini;120;0.8193532582067614;0.8193532582067614
dt;gini;130;0.8193532582067614;0.8193532582067614
knn;chi2;30;0.8192552670259676;0.8192552670259676
knn;chi2;150;0.8237383635472808;0.8187383635472808
dt;chi2;30;0.8186428221460069;0.8186428221460069
xgb;chi2;20;0.8179568838804507;0.8179568838804507
knn;chi2;130;0.8205536501714845;0.8175536501714845
dt;gini;30;0.8155071043606075;0.8155071043606075
dt;gini;50;0.8155071043606075;0.8155071043606075
dt;gini;60;0.8155071043606075;0.8155071043606075
dt;gini;70;0.8155071043606075;0.8155071043606075
dt;gini;90;0.8155071043606075;0.8155071043606075
dt;gini;110;0.8155071043606075;0.8155071043606075
dt;gini;140;0.8155071043606075;0.8155071043606075
xgb;l1;0.01;0.8122488975992161;0.8122488975992161
rf;l1;0.01;0.8122488975992161;0.8122488975992161
dt;l1;0.01;0.8122488975992161;0.8122488975992161
knn;gini;20;0.8110240078392945;0.8110240078392945
knn;gini;30;0.8110240078392945;0.8110240078392945
knn;gini;40;0.8110240078392945;0.8110240078392945
knn;gini;50;0.8110240078392945;0.8110240078392945
knn;gini;60;0.8110240078392945;0.8110240078392945
knn;gini;70;0.8110240078392945;0.8110240078392945
knn;gini;80;0.8110240078392945;0.8110240078392945
knn;gini;90;0.8110240078392945;0.8110240078392945
knn;gini;100;0.8110240078392945;0.8110240078392945
knn;gini;110;0.8110240078392945;0.8110240078392945
knn;gini;120;0.8110240078392945;0.8110240078392945
knn;gini;130;0.8110240078392945;0.8110240078392945
knn;gini;140;0.8110240078392945;0.8110240078392945
knn;gini;150;0.8110240078392945;0.8110240078392945
rf;chi2;25;0.8102890739833415;0.8102890739833415
lr;l1;0.02;0.8102890739833415;0.8102890739833415
svc;chi2;15;0.8096276335129838;0.8096276335129838
rf;chi2;20;0.8096276335129838;0.8096276335129838
knn;l1;0.01;0.8090396864282214;0.8090396864282214
knn;chi2;25;0.8077168054875061;0.8077168054875061
knn;chi2;20;0.80578147966683;0.80578147966683
xgb;chi2;15;0.8051445369916708;0.8051445369916708
lda;chi2;30;0.8032582067613915;0.8032582067613915
dt;chi2;25;0.8025967662910338;0.8025967662910338
lda;chi2;25;0.7949044585987262;0.7949044585987262
dt;chi2;20;0.7929691327780499;0.7929691327780499
knn;chi2;15;0.7903968642822146;0.7903968642822146
rf;chi2;15;0.7891229789318961;0.7891229789318961
dt;chi2;15;0.788486036256737;0.788486036256737
lda;gini;20;0.7859872611464969;0.7859872611464969
lda;gini;30;0.7859872611464969;0.7859872611464969
lda;gini;40;0.7859872611464969;0.7859872611464969
lda;gini;50;0.7859872611464969;0.7859872611464969
lda;gini;60;0.7859872611464969;0.7859872611464969
lda;gini;70;0.7859872611464969;0.7859872611464969
lda;gini;80;0.7859872611464969;0.7859872611464969
lda;gini;90;0.7859872611464969;0.7859872611464969
lda;gini;100;0.7859872611464969;0.7859872611464969
lda;gini;110;0.7859872611464969;0.7859872611464969
lda;gini;120;0.7859872611464969;0.7859872611464969
lda;gini;130;0.7859872611464969;0.7859872611464969
lda;gini;140;0.7859872611464969;0.7859872611464969
lda;gini;150;0.7859872611464969;0.7859872611464969
lda;chi2;20;0.7769475747182754;0.7769475747182754
lr;chi2;30;0.77437530622244;0.77437530622244
lda;chi2;15;0.7698922097011269;0.7698922097011269
lr;chi2;25;0.7666829985301322;0.7666829985301322
svc;chi2;10;0.7532092111709946;0.7532092111709946
lr;chi2;20;0.7525722684958354;0.7525722684958354
knn;chi2;10;0.7455169034786869;0.7455169034786869
xgb;chi2;10;0.7416707496325331;0.7416707496325331
dt;chi2;10;0.7339784419402253;0.7339784419402253
rf;chi2;10;0.7301322880940715;0.7301322880940715
lr;gini;20;0.7269720725134738;0.7269720725134738
lr;gini;30;0.7269720725134738;0.7269720725134738
lr;gini;40;0.7269720725134738;0.7269720725134738
lr;gini;50;0.7269720725134738;0.7269720725134738
lr;gini;60;0.7269720725134738;0.7269720725134738
lr;gini;70;0.7269720725134738;0.7269720725134738
lr;gini;80;0.7269720725134738;0.7269720725134738
lr;gini;90;0.7269720725134738;0.7269720725134738
lr;gini;100;0.7269720725134738;0.7269720725134738
lr;gini;110;0.7269720725134738;0.7269720725134738
lr;gini;120;0.7269720725134738;0.7269720725134738
lr;gini;130;0.7269720725134738;0.7269720725134738
lr;gini;140;0.7269720725134738;0.7269720725134738
lr;gini;150;0.7269720725134738;0.7269720725134738
svc;chi2;5;0.7262861342479177;0.7262861342479177
lr;chi2;15;0.7224399804017638;0.7224399804017638
knn;chi2;5;0.71859382655561;0.71859382655561
xgb;chi2;5;0.7147476727094562;0.7147476727094562
lda;chi2;5;0.7109015188633023;0.7109015188633023
lda;chi2;10;0.7109015188633023;0.7109015188633023
rf;chi2;5;0.7109015188633023;0.7109015188633023
dt;chi2;5;0.7109015188633023;0.7109015188633023
lda;l1;0.01;0.6878735913767761;0.6878735913767761
lr;chi2;10;0.6846153846153846;0.6846153846153846
lr;chi2;5;0.6730769230769231;0.6730769230769231
lr;l1;0.01;0.6519598236158746;0.6519598236158746
